Elemento,Descripcion,Link,Banco
Mamut,"Beneficio
40% de descuento todos los miércoles. Encuentra tu local más cercano aquí. Tope del descuento $25.000 por cliente titular. Para acceder a este beneficio debes mencionar que pagas con tus tarjetas de crédito Itaú al momento de pedir tu cuenta.
Descripción
Somos Mamut Restaurante y cómo líderes en gastronomía, asumimos la tarea de entregar una experiencia especial e inolvidable para cada momento. Para eso tenemos el lugar ideal, con un servicio de excelencia y el menú más completo, para satisfacer a cada persona… ¡somos el lugar perfecto!
Restricciones
Promociones válidas para compras efectuadas por personas naturales sin giro comercial que sean titulares de tarjetas Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Ruta Gourmet : 40% dcto válido pagando con tarjeta de crédito Itaú para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con la tarjeta de crédito Itaú al momento de pagar. Máximo descuento de $25.000 por cliente titular.",https://itaubeneficios.cl/restaurantes/mamut/,Banco Itau
Bar La Santoría,"Beneficio
Obtén un 40% de descuento en el total de tu cuenta los días martes de marzo, abril y mayo 2025 en Bar La Santoría Providencia. Para hacer válido el beneficio, debes indicar que eres cliente de Banco Itaú y que harás uso del beneficio, y pagar el total de tu cuenta con tu tarjeta de débito o de crédito de Banco ITAÚ. El descuento se verá reflejado en el total a pagar.
Obtén un 25% de descuento en el total de tu cuenta los días jueves y sábados de marzo, abril y mayo 2025 en Bar La Santoría Providencia. Para hacer válido el beneficio, debes indicar que eres cliente de Banco Itaú y que harás uso del beneficio, y pagar el total de tu cuenta con tu tarjeta de débito o de crédito de Banco ITAÚ. El descuento se verá reflejado en el total a pagar.
Descripción
Bar La Santoria – Ven a disfrutar un momento perfecto para compartir con amigos, familia y/o pareja, donde ¡Beber no es Pecado! Nuestro propósito es brindar una grata experiencia mediante variados sabores gastronómicos y nuestra extraordinaria coctelería, sumado a la decoración única que nos distingue como Bar. Nuestra aventura es de martes a sábado desde las 12:30 hrs (horario de cierre Martes 01:00 hrs, Miércoles 02:00 hrs., Jueves 03:00 hrs., Viernes y Sábados 04:00 hrs) en nuestra sucursal: Manuel Montt 422, Providencia.
Restricciones
Descuentos no acumulables con otras promociones, menús, descuentos, beneficios ni happy hour.",https://itaubeneficios.cl/restaurantes/bar-la-santoria/,Banco Itau
La Previa Bar,"Beneficio
40% de descuento en la carta todos los miércoles y jueves de marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tus Tarjetas de Crédito y Débito Itaú al momento de realizar el pedido presencial.
  Descripción
La Previa Bar Restaurant- Un bar y restaurante con el mejor ambiente para comenzar la noche. Disfruta de cócteles de autor, una gastronomía única y una experiencia inolvidable en cada visita. Ideal para juntarse con
amigos, disfrutar de música en vivo y aprovechar nuestras promociones especiales.
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú. Descuento no acumulable con otras promociones y no incluye propina.",https://itaubeneficios.cl/restaurantes/previa-bar/,Banco Itau
Just Burger,"Beneficio
40% de descuento todos los viernes. Para acceder a este beneficio presencialmente debes mencionar que pagas con tus tarjetas de crédito Itaú. Para compras online, debes ingresar como cupón de descuento los 6 primeros dígitos de tu tarjeta de crédito seleccionar medio de pago tarjeta de crédito para que el cupón sea aceptado antes de finalizar el pago.
Descripción
Just Burger es una cadena de restaurantes especializada en hamburguesas que se destaca por ofrecer una experiencia gourmet con ingredientes frescos y de alta calidad. Su menú suele incluir una variedad de hamburguesas, desde opciones clásicas hasta creaciones innovadoras, acompañadas de papas fritas y otros acompañamientos.
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú. No acumulable con otras promociones o descuentos.  Tope monto de descuento $15.000. Aplica para compras online y presencial.",https://itaubeneficios.cl/restaurantes/just-burger/,Banco Itau
Ceiba,"Beneficio
20% de descuento en la carta todos los jueves. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tus Tarjetas de Crédito y Débito Itaú al momento de realizar el pedido presencial.
Descripción
Descubre una experiencia única en gastronomía amazónica en pleno corazón de La Dehesa! Nuestro bar gastronómico te transportará a la exuberante selva amazónica a través de sabores auténticos y coctelería de autor, todo mientras disfrutas de la vista panorámica desde nuestro rooftop. Sumérgete en una aventura culinaria que combina la riqueza de la zona con la creatividad de nuestros mixólogos, todo en un ambiente acogedor y único con vistas espectaculares. Ven y déjate llevar por los misterios y los sabores del Amazonas en nuestro rincón de la Dehesa con estacionamientos privados de lunes a sábado, 19:00 – 01:30 hrs.
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú. Descuento no acumulable con otras promociones y no incluye propina.",https://itaubeneficios.cl/restaurantes/ceiba/,Banco Itau
Lebol,"Beneficio
20% de descuento en la carta de lunes a sábado. Descuento válido para consumo en el local. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tus Tarjetas de Crédito y Débito Itaú al momento de realizar el pedido presencial.
Descripción
En Lebol Restobar, te deleitarás con nuestra exquisita cocina, mientras disfrutas de un  ambiente cálido y amigable. ¡Una combinación perfecta!
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú. Descuento no acumulable con otras promociones y no incluye propina.",https://itaubeneficios.cl/restaurantes/lebol/,Banco Itau
Poncha Bang Bang,"Beneficio
20% de descuento en la carta de martes a domingo. Descuento válido para consumo en el local. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tus Tarjetas de Crédito y Débito Itaú al momento de realizar el pedido presencial.
Descripción
¿Te imaginas una fusión perfecta entre la comida coreana callejera y sabores gringos? Ven a disfrutar de platos únicos, cervezas increíbles y nuestro exclusivo soju de la casa. ¡Una experiencia que no puedes perder! Martes a jueves de 13.00 hrs a 23.00 hrs Viernes y sábado de 13.00 hrs a 01.00 hrs Domingo de 13.00 hrs a 18.00 hrs Lunes cerrado.
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú. Descuento no acumulable con otras promociones y no incluye propina. Tope máximo descuento $100.000.",https://itaubeneficios.cl/restaurantes/poncha-bang-bang/,Banco Itau
Vinilos y Vinos,"Beneficio
10% de descuento en Vinilos y vinos.
10% de descuento en copas Spigelau.
10% en entradas a eventos de Copas y tapas que se realicen en temporada (Sujeto a organización de dicho evento).
Para acceder a este beneficio debes mencionar que pagas con tus Tarjetas de Crédito y Débito Itaú al momento de realizar el pedido presencial.
Descripción
Tienda de Vinilos y vinos es un lugar donde puedes encontrar más de 100 etiquetas de vinos de pequeños productores, viñas boutique, grandes viñas chilenas, vinos íconos, premium y donde también podrás descubrir cepas de valles como Araucanía, Valle del Itata, Valle central, Maipo, entre otras, través de catas privadas. También podrás encontrar vinilos de música para degustar tu vino.10% de descuento en Vinilos y vinos
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú. Descuento no acumulable con otras promociones y no incluye propina.",https://itaubeneficios.cl/de-compras/vinilos-y-vinos/,Banco Itau
Madero Lounge,"Beneficio
20% de descuento todos los jueves. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tus Tarjetas de Crédito y Débito Itaú al momento de realizar el pedido presencial.
Descripción
Madero Lounge es un gastro bar ubicado en Pedro de Valdivia N°1317 con un ambiente familiar y buena cocina, es un punto de encuentro y conversación para disfrutar con amigos de una rica coctelería clásica y de autor. Con una trayectoria de 29 años en el gran Concepción.
Horario te atención:
Martes a jueves de 18:00 a 00:30 horas.
Viernes 18:00 a 02:00 horas.
Sábado  a partir de las 18:00 horas.
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú",https://itaubeneficios.cl/restaurantes/madero-lounge/,Banco Itau
Chiaroscuro,"Beneficio
20% de descuento en toda carta de lunes a viernes desde las 09:00 hasta las 18:00 hrs. Para acceder a este beneficio debes mencionar que pagas con tus tarjetas de crédito y débito Itaú al momento de pedir tu cuenta.
Descripción
Cafetería Restaurant Italiano.
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú",https://itaubeneficios.cl/restaurantes/chiaroscuro/,Banco Itau
